pc,lat,lon,district
ME45RB,51.376814,0.525812,Medway
ME45XP,51.36813,0.52815,Medway
ME46BA,51.382409,0.520745,Medway
ME46BB,51.382536,0.518596,Medway
ME46BE,51.381638,0.5227,Medway
ME46BW,51.379864,0.523235,Medway
ME46DP,51.374389,0.5219,Medway
ME46DQ,51.374725,0.521343,Medway
ME46FE,51.355293,0.509475,Medway
ME46HZ,51.358712,0.514,Medway
ME46SB,51.378415,0.518701,Medway
ME57DX,51.364206,0.546137,Medway
ME57JZ,51.368182,0.548168,Medway
ME57SS,51.365152,0.547698,Medway
ME58AH,51.343889,0.529559,Medway
ME58HJ,51.344036,0.53567,Medway
ME58UD,51.328577,0.545152,Medway
ME58XG,51.345175,0.542439,Medway
ME58XZ,51.333635,0.544169,Medway
ME59AJ,51.344118,0.523124,Medway
ME59FD,51.347593,0.507431,Medway
ME59JG,51.329584,0.538504,Maidstone
ME65DF,51.330155,0.441863,Tonbridge and Malling
ME71BB,51.389078,0.54299,Medway
ME71FU,51.396224,0.5568,Medway
ME72QB,51.389094,0.56701,Medway
ME72YX,51.372433,0.558204,Medway
ME72YY,51.372147,0.559754,Medway
ME73AH,51.366736,0.564164,Medway
ME73EG,51.366099,0.566945,Medway
ME74AQ,51.375561,0.55582,Medway
ME74JH,51.378611,0.558217,Medway
ME74NT,51.386441,0.550547,Medway
ME74PG,51.385528,0.549088,Medway
ME74RP,51.384031,0.549278,Medway
ME75AE,51.391369,0.529805,Medway
ME75EG,51.38609,0.542666,Medway
ME75LN,51.378277,0.547535,Medway
ME75TX,51.386989,0.544757,Medway
ME75XX,51.377651,0.548205,Medway
ME80DH,51.364195,0.602281,Medway
ME80PZ,51.364497,0.573981,Medway
ME86TT,51.370157,0.590147,Medway
ME87EG,51.367159,0.597205,Medway
ME87HX,51.364741,0.604826,Medway
ME87JH,51.363284,0.607688,Medway
ME87SB,51.364794,0.610116,Medway
ME89PW,51.348557,0.594903,Medway
ME90NT,51.263518,0.758567,Swale
ME97AZ,51.371543,0.642471,Swale
ME98GR,51.371943,0.726269,Swale
ME98LR,51.336253,0.703835,Swale
ME98SU,51.376788,0.721757,Swale
TN11DJ,51.129953,0.260894,Tunbridge Wells
TN11LU,51.133527,0.264442,Tunbridge Wells
TN11NU,51.130917,0.261727,Tunbridge Wells
TN11UL,51.129003,0.26302,Tunbridge Wells
TN11XP,51.127216,0.260089,Tunbridge Wells
TN12NB,51.132379,0.267502,Tunbridge Wells
TN103AB,51.201551,0.276153,Tonbridge and Malling
TN103LR,51.219885,0.274951,Tonbridge and Malling
TN104NZ,51.205755,0.283346,Tonbridge and Malling
TN110LT,51.225292,0.350384,Tonbridge and Malling
TN118RQ,51.194521,0.213171,Sevenoaks
TN125EN,51.212417,0.391454,Tonbridge and Malling
TN129AG,51.177507,0.503927,Maidstone
TN129QJ,51.17742,0.489872,Maidstone
TN131JX,51.269492,0.191095,Sevenoaks
TN131YH,51.271389,0.189723,Sevenoaks
TN132AA,51.283831,0.169636,Sevenoaks
TN132BT,51.284627,0.170391,Sevenoaks
TN133PE,51.287464,0.194748,Sevenoaks
TN133QG,51.287143,0.190315,Sevenoaks
TN145PQ,51.31331,0.189007,Sevenoaks
TN147AA,51.324319,0.155571,Sevenoaks
TN156BX,51.350506,0.251184,Sevenoaks
TN161JP,51.277222,0.110551,Sevenoaks
TN161JR,51.276961,0.110553,Sevenoaks
TN172AF,51.118332,0.555243,Tunbridge Wells
TN184AS,51.04839,0.510197,Tunbridge Wells
TN184HT,51.045878,0.514084,Tunbridge Wells
TN23DH,51.151178,0.277561,Tunbridge Wells
TN23FX,51.153877,0.293625,Tunbridge Wells
TN23UU,51.136047,0.283292,Tunbridge Wells
TN24AY,51.145258,0.337379,Tunbridge Wells
TN24QU,51.136908,0.309495,Tunbridge Wells
TN24RF,51.132534,0.299614,Tunbridge Wells
TN210JB,50.934066,0.24146,Wealden
TN210JL,50.923292,0.232519,Wealden
TN218LA,50.971388,0.248599,Wealden
TN218QR,50.959925,0.259096,Wealden
TN221FH,50.979578,0.096995,Wealden
TN221PX,50.970254,0.096404,Wealden
TN224HE,50.988118,0.136951,Wealden
TN225EJ,50.965164,0.102869,Wealden
TN231AF,51.150541,0.865527,Ashford
TN231BB,51.151119,0.857368,Ashford
TN231PD,51.146574,0.87143,Ashford
TN233PS,51.12349,0.852104,Ashford
TN234XL,51.14351,0.848877,Ashford
TN235HG,51.137201,0.833834,Ashford
TN236LN,51.1323,0.867371,Ashford
TN236LW,51.132748,0.866713,Ashford
TN236LZ,51.128654,0.863843,Ashford
TN237RP,51.141522,0.87166,Ashford
TN237TS,51.138086,0.87169,Ashford
TN240LH,51.124605,0.897496,Ashford
TN240NR,51.144324,0.906824,Ashford
TN248BF,51.157927,0.862895,Ashford
TN248DF,51.150207,0.875117,Ashford
TN248DH,51.150686,0.884528,Ashford
TN248EZ,,,
TN248JR,51.15039,0.873526,Ashford
TN248XU,51.162517,0.866841,Ashford
TN249BZ,51.162297,0.878372,Ashford
TN249HT,51.171175,0.886021,Ashford
TN254BF,51.170445,0.867405,Ashford
TN254DF,51.217914,0.867204,Ashford
TN256SX,51.113345,0.954236,Ashford
TN263RJ,51.075775,0.795499,Ashford
TN263SN,51.071308,0.775386,Ashford
TN279LY,51.170547,0.635241,Maidstone
TN279TN,51.168077,0.626717,Maidstone
TN288BN,50.985286,0.938987,Folkestone and Hythe
TN30AQ,51.145349,0.218638,Tunbridge Wells
TN30TU,51.155666,0.228529,Tunbridge Wells
TN39JA,51.083077,0.230537,Wealden
TN306BW,51.068343,0.688643,Ashford
TN307LZ,51.052887,0.693498,Ashford
TN317AD,50.951143,0.731068,Rother
TN317BE,50.952754,0.722561,Rother
TN317SQ,50.962007,0.730338,Rother
TN330AG,50.916316,0.485139,Rother
TN330TP,50.902861,0.514108,Rother
TN341HL,50.85521,0.578001,Hastings
TN341HN,,,
TN342PQ,50.87275,0.568962,Hastings
TN342RR,50.883976,0.577471,Hastings
TN343AA,50.855286,0.58349,Hastings
TN355BB,50.871012,0.606349,Hastings
TN376PA,50.866498,0.55631,Hastings
TN377AN,50.875859,0.551492,Hastings
TN389AU,50.876759,0.52915,Hastings
TN389BA,50.867966,0.549241,Hastings
TN389BB,50.870714,0.551893,Hastings
TN389UH,50.873665,0.527078,Hastings
TN393LR,50.840425,0.465111,Rother
TN393PD,50.841903,0.467958,Rother
TN394PQ,50.845781,0.434508,Rother
TN394SJ,50.844564,0.433805,Rother
TN394SL,50.843662,0.4339,Rother
TN395HE,50.857322,0.464012,Rother
TN40PP,51.156668,0.259711,Tunbridge Wells
TN48BS,51.132259,0.254632,Tunbridge Wells
TN49FJ,51.142397,0.259629,Tunbridge Wells
TN401JB,50.839475,0.476424,Rother
TN401QF,50.841773,0.473264,Rother
TN402DZ,50.850701,0.475527,Rother
TN61BL,51.05462,0.157278,Wealden
TN61DF,51.05874,0.162607,Wealden
TN61DH,51.05853,0.158858,Wealden
TN62JD,51.045727,0.1848,Wealden
TN85AX,51.193757,0.066143,Sevenoaks
TN85QR,51.17716,0.053598,Sevenoaks
TN87JU,51.143645,0.053412,Sevenoaks
TN91EP,51.193243,0.271878,Tonbridge and Malling
TN91SP,51.190716,0.282045,Tonbridge and Malling
TN92AA,51.190348,0.270877,Tonbridge and Malling
TN92HR,51.190165,0.270138,Tonbridge and Malling
TN92JN,51.184968,0.279757,Tonbridge and Malling
